mainline_repo;variant_repo;mainline_nuget;variant_nuget;ForkDate;MLVLastComDate;FVLastComDate;PR_Mg;PR_Mg_Com;PR_Sq;PR_Sq_Com;PR_Rb;PR_Rb_Com;PR_Inter_Com_Var1;PR_Inter_Com_Var2;Git_MgRb_Com;CherryMlV;CherryFV;Unique_fv;Unique_mlv;inheritedCommits;Variability1;dependencies_mainline;dependencies_variant;dependent_package_mainline;dependent_projects_mainline;dependent_packages_variant;dependent_projects_variant;releases_mainline;releases_variant
1iveowl/SocketLite;RostislavST/SocketLite.Rx2;SocketLite.PCL;SocketLite.Rx2;2017-09-16T10:34:15Z;2019-09-21T10:24:44Z;2017-09-16T14:39:56Z;0;0;0;0;0;0;0;0;0;0;0;3;28;117;3;21;7;3;0;1;0;106;1
2020Legal/NLog.Targets.Gelf;peacecwz/Pompa;NLog.Targets.Gelf;Pompa;2018-10-25T13:54:43Z;2016-09-15T10:38:18Z;2019-04-29T06:57:25Z;0;0;0;0;0;0;0;0;0;0;0;9;0;58;13;2;2;1;0;0;0;8;2
2881099/csredis;xxf2103625/XfRedis;CSRedisCore;XFRedisCore;2018-06-18T14:22:32Z;2021-05-07T14:46:42Z;2018-07-30T11:03:11Z;0;0;0;0;0;0;0;0;27;0;0;7;229;18;13;9;0;82;0;0;0;129;1
2moveit/WPFTagControl;newky2k/WPFTagControl;WPFTagControl;AltWPFTagControl;2018-07-08T20:02:52Z;2019-04-11T05:48:27Z;2020-06-15T19:12:24Z;1;1;0;0;0;0;1;1;0;0;0;10;4;23;29;0;1;0;0;0;0;6;3
a-h/FakeDbSet;realistschuckle/FakeDbSet;FakeDbSet;AnotherFakeDbSet;2013-01-24T14:17:13Z;2013-07-15T17:21:17Z;2015-10-29T23:41:19Z;0;0;0;0;0;0;0;0;0;0;0;10;5;6;63;2;1;2;3;1;3;6;4
acdvorak/named-pipe-wrapper;LarryMai/named-pipe-wrapper;NamedPipeWrapper;NamedPipeWrapper.NetCore;2019-03-06T02:00:28Z;2016-09-28T12:33:46Z;2016-09-28T12:33:46Z;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;2;4;0;0;9;1
acdvorak/named-pipe-wrapper;longqinsi/named-pipe-wrapper;NamedPipeWrapper;NamedPipeWrapper.New;2016-04-01T07:33:45Z;2016-09-28T12:33:46Z;2016-04-01T13:18:43Z;0;0;0;0;0;0;0;0;0;0;0;25;3;70;26;0;0;2;4;0;0;9;2
adamkrogh/goodreads-dotnet;Neyesha/goodreads-dotnet;Goodreads;Neyesha.Goodreads;2019-10-06T19:40:57Z;2020-06-25T07:38:39Z;2020-11-24T16:07:43Z;0;0;0;0;0;0;0;0;0;0;0;1;1;174;1;1;2;0;0;0;0;6;1
AeonLucid/GPSOAuthSharp.NetStandard1;Furtif/GPSOAuthSharp.Core;GPSOAuthSharp.NetStandard1;GPSOAuthSharp.Core;2017-12-10T02:54:37Z;2017-05-06T21:58:20Z;2018-02-15T21:01:13Z;0;0;0;0;0;0;0;0;0;0;0;4;0;50;7;2;2;2;0;2;0;2;2
AeonLucid/POGOProtos.NetStandard1;Furtif/POGOProtos.Core;POGOProtos.NetStandard1;POGOProtos.Core;2017-10-12T15:27:31Z;2018-04-11T08:04:07Z;2019-05-30T23:34:36Z;0;0;0;0;0;0;0;0;0;0;0;19;1;25;43;2;2;1;0;1;0;29;28
aFarkas/html5shiv;erichexter/html5shiv;html5-shiv;html5shiv;2012-06-06T13:11:41Z;2021-01-27T09:25:04Z;2012-11-27T02:28:09Z;0;0;0;0;0;0;0;0;0;0;0;5;106;170;3;0;0;1;3;3;82;2;2
aFarkas/html5shiv;MLaritz/html5shiv;html5-shiv;HTML5.HTML5Shiv;2013-08-02T01:24:58Z;2021-01-27T09:25:04Z;2014-06-21T03:22:47Z;0;0;0;0;0;0;0;0;23;0;0;9;27;216;4;0;0;1;3;4;5;2;3
AfterbuyAxel/WPF-RichText-Editor;ngaillet/WPF-RichText-Editor;WpfRichText;WpfRichText2;2015-08-05T07:47:05Z;2013-05-31T15:19:34Z;2015-08-05T07:50:57Z;0;0;0;0;0;0;0;0;0;0;0;1;0;22;4;1;1;0;0;0;0;19;1
alansav/range;Ben3094/range;Range;BenDotNet.Numerics.Range;2018-11-13T09:36:03Z;2018-11-24T14:44:35Z;2019-04-04T14:07:18Z;0;0;1;2;0;0;1;2;4;0;0;6;7;12;25;1;1;0;0;3;0;11;1
Alegrowin/OneSignal.RestAPIv3.Client;ApollosProject/Apollos.OneSignal.RestAPIv3.Client;OneSignal.RestAPIv3.Client;Apollos.OneSignal.RestAPIv3.Client;2019-01-16T15:37:44Z;2020-12-03T16:20:16Z;2019-01-17T15:44:11Z;0;0;0;0;0;0;0;0;0;0;0;7;23;77;8;2;2;0;0;0;0;6;1
Alegrowin/OneSignal.RestAPIv3.Client;kevin-david/OneSignal.RestAPIv3.Client;OneSignal.RestAPIv3.Client;OneSignal.RestAPIv3.Client.kevin-david;2019-02-16T17:22:20Z;2020-12-03T16:20:16Z;2019-10-05T14:42:03Z;0;0;0;0;0;0;0;0;3;0;0;4;16;79;5;2;2;0;0;0;0;6;1
aleripe/AnonymousId;jlholtus/AnonymousId;ReturnTrue.AspNetCore.Identity.Anonymous;Onots.AspNetCore.Identity.Anonymous;2018-01-15T07:59:20Z;2020-07-22T07:28:46Z;2018-01-16T10:47:25Z;0;0;0;0;0;0;0;0;0;0;0;4;7;10;29;2;1;0;0;0;0;5;2
AlessandroCandelari/decimal-datetime;nonno/decimal-datetime;DecimalDatetime.pallettaro;Decimal.DateTime;2017-11-01T22:38:35Z;2017-01-30T09:11:05Z;2021-03-05T22:17:32Z;0;0;0;0;0;0;0;0;0;0;0;8;0;2;80;0;1;0;0;0;0;2;7
AlexandrNikulin/AnimationNavigationPage;pmahend1/AnimationNavigationPage;XForms.Plugin.AnimationNavigationPage;Xamarin.Forms.AnimationNavigation;2019-11-26T16:50:43Z;2019-11-27T21:43:31Z;2019-11-27T15:02:28Z;2;3;0;0;0;0;3;3;3;0;0;0;5;91;0;1;1;0;0;0;0;7;1
alexreinert/ARSoft.Tools.Net;mccj/ARSoft.Tools.Net.Core;ARSoft.Tools.Net;ARSoft.Tools.Net.Core;2019-01-26T05:24:53Z;2017-09-30T19:20:45Z;2019-11-02T02:24:41Z;0;0;0;0;0;0;0;0;0;0;0;6;0;33;15;1;1;10;35;4;0;28;3
AlexsJones/HyperVRemote;sergemso/hyperv-management;HyperVRemote;hyperv-manager;2019-08-12T09:37:52Z;2018-02-10T17:34:46Z;2019-08-12T13:38:09Z;0;0;0;0;0;0;0;0;0;0;0;1;0;17;6;0;3;0;0;0;0;4;2
aliostad/aws-distributed-mutex;Informatievlaanderen/aws-distributed-mutex;AwsDistributedMutex;Be.Vlaanderen.Basisregisters.Aws.DistributedMutex;2019-12-17T13:49:18Z;2019-06-11T14:21:49Z;2021-04-29T12:25:49Z;0;0;0;0;0;0;0;0;0;0;0;64;0;17;79;1;2;0;0;1;0;2;8
alkozko/NHyphenator;AG-Teammate/NHyphenator;NHyphenator;NHyphenator.Core;2017-04-23T20:43:02Z;2020-08-22T06:57:00Z;2017-08-04T17:05:02Z;0;0;0;0;0;0;0;0;0;0;0;5;27;23;18;0;2;0;1;0;0;7;2
amoerie/HtmlBuilders;KriNiTo/HtmlBuilders;HtmlBuilders;HtmlBuilders-MVC4-Backport;2015-07-10T07:06:22Z;2021-04-30T08:16:20Z;2015-07-10T15:59:30Z;1;2;0;0;0;0;2;2;0;0;0;7;70;29;18;6;1;1;0;0;0;28;3
Amyris/GslCore;demetrixbio/GslCore;GslCore;Dmx.GslCore;2017-10-17T15:53:12Z;2021-04-13T19:09:33Z;2018-06-14T18:53:23Z;13;96;0;0;0;0;96;96;69;0;0;0;76;115;0;8;9;0;0;0;0;44;16
anderscui/jieba.NET;henrylilei/jieba.NET;jieba.NET;lile.jieba.NET;2019-05-29T09:13:35Z;2020-01-29T17:15:24Z;2019-07-04T07:39:02Z;0;0;0;0;0;0;0;0;0;0;0;5;17;80;6;1;1;4;1;0;0;8;3
