No;mainline;variants;common_developers
1;emartech/suite-js-sdk;gszabo/suite-js-sdk;No
3;petecoop/generator-express;DeanXu/generator-express-mysql;No
5;collectionspace/cspace-ui.js;cspace-deployment/cspace-ui.js;No
7;dkelosky/jest-stare;bespoken/jest-stare;No
9;fvdm/nodejs-piwik;sandfox/nodejs-piwik;No
11;andrehtissot/cordova-plugin-fcm-with-dependecy-updated;rusumadalina/cordova-plugin-fcm-notification;No
13;bahmutov/snap-shot-it;smartprix/snap-shot-it;No
15;repetere/periodicjs.ext.reactapp;digifi-io/periodicjs.ext.reactapp;Yes
17;onechiporenko/ember-models-table;eNkru/ember-material-table;No
19;yeoman/generator-webapp_DEPRECATED;amercier/generator-webapp-php;No
21;ykzts/node-xmlhttprequest;modulesio/window-xhr;No
23;ykzts/node-xmlhttprequest;mrstux/node-xmlhttprequest;No
25;mojotech/jeet;carrot/grate;No
27;datastax/nodejs-driver;yugabyte/cassandra-nodejs-driver;No
29;smsapi/smsapi-javascript-client;smsapicom/smsapicom-javascript-client;Yes
31;jacobrask/styledocco;praveenvijayan/styledocco;No
33;itgalaxy/webfont;phi-jp/webfont-ex;No
35;boclips/boclips-player;g787543/boclips-react-plyr;No
37;nuxt-community/sentry-module;uniibu/sentry-module;No
39;rollbar/node_rollbar;suwanny/node_rollbar;No
41;lgaticaq/sequelize-graphql-tools;eclass/sequelize-graphql-tools;Yes
43;rrdelaney/reason-scripts;rjsamson/js-with-reason-scripts;No
45;bitjourney/ci-npm-update;kogai/ci-npm-update;No
47;dcmjs-org/dcmjs;jmhmd/dcmjs;No
49;jedmao/eclint;slang800/editorconfig-tools;No
51;smashwilson/hubot-markov;jfhamlin/hubot-mimic;No
53;turtlecoin/turtlecoin-utils;tylersisia/chimera-utils;No
1;balderdashy/waterline-adapter-tests;Atlantis-Software/offshore-adapter-tests;No
3;contentstack/gatsby-source-contentstack;berlitz-global/gatsby-source-contentstack;No
5;borschik/borschik;hamosapience/borschik-webp;No
7;velesin/jasmine-jquery;badunk/js-fixtures;No
9;rebassjs/grid;josepot/grid-styletr;No
11;mescroll/mescroll;mvpleung/mescroll;No
